,id,timestamp,tweet_text,username,followers_count,location
2678,1.57576E+18,2022-09-30 08:26:26+00:00,Justru sebaliknya  Masy membeli BBM di SPBU swasta ingin membantu Pemerintah &amp; @pertamina supaya tidak terlalu di bebani Subsidi  ( nyindir ) https://t.co/zSgyOn3PWY,ZibaTajul1,37,
2679,1.57576E+18,2022-09-30 08:24:50+00:00,Penyesuaian Harga BBM Harus Diambil Pemerintah Agar Menahan Inflasi yang Dampak Biayanya Jauh Lebih Besar.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/jIDhEyVHTK,annissa_ichha,174,"Papua, Indonesia"
2680,1.57576E+18,2022-09-30 08:23:08+00:00,"Penyesuaian Harga BBM, Langkah Pemerintah Hindari Krisis APBN.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/OykUV7sze1",annissa_ichha,174,"Papua, Indonesia"
2681,1.57576E+18,2022-09-30 08:19:34+00:00,Kebijakan Pemerintah Tepat Menyesuaikan Harga BBM.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/HynXJwArdE,annissa_ichha,174,"Papua, Indonesia"
2682,1.57576E+18,2022-09-30 08:18:33+00:00,Anggaran Subsidi yang diatur Perpres Menjadi Salah Satu Acuan Pemerintah Memilih Jalan Menaikkan Harga BBM Subsidi.  Papua Dukung #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/dufGKvfT0H,annissa_ichha,174,"Papua, Indonesia"
2683,1.57576E+18,2022-09-30 08:10:40+00:00,Pemerintah kini sedang menyalurkan subsidi pengalihan bahan bakar minyak (BBM) dalam tiga jenis bantuan. Dua di antaranya adalah bantuan langsung tunai (BLT) BBM dan bantuan subsidi upah (BSU) dengan nominal Rp. 600.000. https://t.co/OU4JlFnhUV,reskrimtoba88,1,
2684,1.57576E+18,2022-09-30 08:08:10+00:00,"Pemerintah terus mempercepat penyaluran BLT BBM yang saat ini sudah mencapai 95,9% https://t.co/7n0cLTLo1p",ChindyEkawati,13,
2685,1.57576E+18,2022-09-30 08:07:25+00:00,"Penyaluran BLT BBM sudah mencapai 95,9% dari total target, dan pemerintah terus melakukan percepatan distribusi https://t.co/zJUnpDOrGO",yendria95,13,
2686,1.57576E+18,2022-09-30 08:01:00+00:00,"Puluhan emak-emak yang tergabung dalam Dewan Kesehatan Rakyat mendatangi kantor Wali Kota Depok karena tidak menerima bantuan langsung tunai atau BLT BBM, pada Kamis (29/9). Mereka berunjuk rasa menuntut agar Pemerintah Kota Depok segera mendata ulang warga yang tidak terdata. https://t.co/VNfkvnQMMr",KompasTV,4521523,Indonesia
2687,1.57576E+18,2022-09-30 07:56:38+00:00,Kemendag menggencarkan peningkatan kompetensi Sumber Daya Manusia (SDM) fungsional sektor perdagangan di Daerah Istimewa Yogyakarta (DIY). Hal ini seiring dengan upaya pemerintah  dalam mengendalikan laju inflasi pascakenaikan harga BBM.  https://t.co/jf8weJ7e25,inilahdotcom,366068,"Jakarta, Indonesia"
2688,1.57576E+18,2022-09-30 07:53:22+00:00,"Direktur Eksekutif Energy Watch,  Mamit Setiawan mengungkapkan bahwa apa yang dilakukan pemerintah sudah tepat soal pembagian BLT Subsidi BBM, namun harus dikawal agar tepat sasaran.   #RealokasiSubsidiBBM @pertamina https://t.co/YSPgj9CdIb",Amaygedeng,3252,"DKI Jakarta, Indonesia"
